Month,Store,Metric,Amount
Apr 2021,CVR,Gross margin,0.0
Apr 2021,SJP,Gross margin,14.76
Apr 2021,ORW,Gross margin,6.38
Apr 2021,EST,Gross margin,7.72
Apr 2021,ORE,Gross margin,4.94
Apr 2021,AUR,Gross margin,0.0
Apr 2021,JPN,Gross margin,13.24
Apr 2021,JPC,Gross margin,0.0
Apr 2021,PTP,Gross margin,0.0
Apr 2021,SEC,Gross margin,0.0
Apr 2021,SYH,Gross margin,9.67
Apr 2021,ETF,Gross margin,0.0
Apr 2021,GSC,Gross margin,-0.06
Apr 2021,PRI,Gross margin,0.0
Apr 2021,ECN,Gross margin,0.0
Apr 2021,RGA,Gross margin,0.0
Apr 2021,MIL,Gross margin,0.0
Apr 2021,CTS,Gross margin,0.0
Apr 2021,VBP,Gross margin,8.25
Apr 2021,SKC,Gross margin,3.6
Apr 2021,IHY,Gross margin,8.2
Apr 2021,DCH,Gross margin,0.0
Apr 2021,HAA,Gross margin,3.52
Apr 2021,SCH,Gross margin,2.35
Apr 2021,EGL,store Labor Cost,0.0
Apr 2021,ITPL,store Labor Cost,1.26
Apr 2021,RMZ,store Labor Cost,0.0
Apr 2021,KOR,store Labor Cost,1.83
Apr 2021,INB,store Labor Cost,1.89
Apr 2021,DIV,store Labor Cost,2.13
Apr 2021,IND,store Labor Cost,2.81
Apr 2021,BAG,store Labor Cost,0.0
Apr 2021,DLF,store Labor Cost,0.0
Apr 2021,MAN,store Labor Cost,0.91
Apr 2021,MTP,store Labor Cost,0.0
Apr 2021,ETV,store Labor Cost,0.0
Apr 2021,VIR,store Labor Cost,0.0
Apr 2021,ARK,store Labor Cost,2.15
Apr 2021,SIG,store Labor Cost,1.69
Apr 2021,HSR,store Labor Cost,2.53
Apr 2021,CVR,store Labor Cost,0.0
Apr 2021,SJP,store Labor Cost,2.74
Apr 2021,ORW,store Labor Cost,1.81
Apr 2021,EST,store Labor Cost,1.91
Apr 2021,ORE,store Labor Cost,1.64
Apr 2021,AUR,store Labor Cost,0.0
Apr 2021,JPN,store Labor Cost,2.57
Apr 2021,JPC,store Labor Cost,0.0
Apr 2021,PTP,store Labor Cost,0.0
Apr 2021,SEC,store Labor Cost,0.0
Apr 2021,SYH,store Labor Cost,2.05
Apr 2021,ETF,store Labor Cost,0.0
Apr 2021,GSC,store Labor Cost,0.0
Apr 2021,PRI,store Labor Cost,0.0
Apr 2021,ECN,store Labor Cost,0.0
Apr 2021,RGA,store Labor Cost,0.0
Apr 2021,MIL,store Labor Cost,0.0
Apr 2021,CTS,store Labor Cost,0.0
Apr 2021,VBP,store Labor Cost,2.11
Apr 2021,SKC,store Labor Cost,1.95
Apr 2021,IHY,store Labor Cost,2.12
Apr 2021,DCH,store Labor Cost,0.0
Apr 2021,HAA,store Labor Cost,1.61
Apr 2021,SCH,store Labor Cost,1.62
Apr 2021,EGL,Utility Cost,0.0
Apr 2021,ITPL,Utility Cost,0.57
Apr 2021,RMZ,Utility Cost,0.1
Apr 2021,KOR,Utility Cost,0.85
Apr 2021,INB,Utility Cost,0.48
Apr 2021,DIV,Utility Cost,1.3
Apr 2021,IND,Utility Cost,1.16
Apr 2021,BAG,Utility Cost,0.0
Apr 2021,DLF,Utility Cost,0.0
Apr 2021,MAN,Utility Cost,0.75
Apr 2021,MTP,Utility Cost,0.0
Apr 2021,ETV,Utility Cost,0.04
Apr 2021,VIR,Utility Cost,0.0
Apr 2021,ARK,Utility Cost,1.18
Apr 2021,SIG,Utility Cost,0.81
Apr 2021,HSR,Utility Cost,1.13
Apr 2021,CVR,Utility Cost,0.0
Apr 2021,SJP,Utility Cost,1.2
Apr 2021,ORW,Utility Cost,0.73
Apr 2021,EST,Utility Cost,0.96
Apr 2021,ORE,Utility Cost,0.45
Apr 2021,AUR,Utility Cost,0.0
Apr 2021,JPN,Utility Cost,1.25
Apr 2021,JPC,Utility Cost,0.0
Apr 2021,PTP,Utility Cost,0.07
Apr 2021,SEC,Utility Cost,0.05
Apr 2021,SYH,Utility Cost,0.83
Apr 2021,ETF,Utility Cost,0.08
Apr 2021,GSC,Utility Cost,0.0
Apr 2021,PRI,Utility Cost,0.01
Apr 2021,ECN,Utility Cost,0.12
Apr 2021,RGA,Utility Cost,0.1
Apr 2021,MIL,Utility Cost,0.0
Apr 2021,CTS,Utility Cost,0.1
Apr 2021,VBP,Utility Cost,0.78
Apr 2021,SKC,Utility Cost,0.76
Apr 2021,IHY,Utility Cost,0.68
Apr 2021,DCH,Utility Cost,0.0
Apr 2021,HAA,Utility Cost,1.18
Apr 2021,SCH,Utility Cost,0.38
Apr 2021,ITPL,Rent,1.04
Apr 2021,RMZ,Rent,0.0
Apr 2021,KOR,Rent,0.71
Apr 2021,INB,Rent,0.89
Apr 2021,DIV,Rent,0.51
Apr 2021,IND,Rent,1.1
Apr 2021,BAG,Rent,0.0
Apr 2021,MAN,Rent,1.78
Apr 2021,ETV,Rent,0.0
Apr 2021,ARK,Rent,1.32
Apr 2021,SIG,Rent,1.07
Apr 2021,HSR,Rent,1.37
Apr 2021,CVR,Rent,0.0
Apr 2021,SJP,Rent,1.48
Apr 2021,ORW,Rent,1.68
Apr 2021,EST,Rent,0.71
Apr 2021,ORE,Rent,0.69
Apr 2021,JPN,Rent,1.95
Apr 2021,SEC,Rent,0.27
Apr 2021,SYH,Rent,0.21
Apr 2021,RGA,Rent,0.0
Apr 2021,VBP,Rent,1.36
Apr 2021,SKC,Rent,0.22
Apr 2021,IHY,Rent,1.77
Apr 2021,HAA,Rent,1.42
Apr 2021,SCH,Rent,0.47
Apr 2021,ITPL,CAM,0.0
Apr 2021,RMZ,CAM,0.13
Apr 2021,INB,CAM,0.16
Apr 2021,DIV,CAM,0.14
Apr 2021,IND,CAM,0.0
Apr 2021,DLF,CAM,0.0
Apr 2021,MTP,CAM,0.0
Apr 2021,ETV,CAM,0.0
Apr 2021,ARK,CAM,0.0
Apr 2021,SIG,CAM,0.09
Apr 2021,HSR,CAM,0.0
Apr 2021,SJP,CAM,0.0
Apr 2021,ORW,CAM,0.41
Apr 2021,EST,CAM,0.16
Apr 2021,ORE,CAM,0.28
Apr 2021,JPN,CAM,0.0
Apr 2021,PTP,CAM,0.0
Apr 2021,SEC,CAM,0.03
Apr 2021,SYH,CAM,0.0
Apr 2021,ETF,CAM,0.0
Apr 2021,PRI,CAM,0.19
Apr 2021,RGA,CAM,0.24
Apr 2021,VBP,CAM,0.41
Apr 2021,IHY,CAM,0.34
Apr 2021,HAA,CAM,0.53
Apr 2021,SCH,CAM,0.24
Apr 2021,ITPL,Aggregator commission,1.19
Apr 2021,KOR,Aggregator commission,1.71
Apr 2021,INB,Aggregator commission,2.29
Apr 2021,DIV,Aggregator commission,3.68
Apr 2021,IND,Aggregator commission,3.93
Apr 2021,MAN,Aggregator commission,0.96
Apr 2021,ARK,Aggregator commission,2.86
Apr 2021,SIG,Aggregator commission,1.16
Apr 2021,HSR,Aggregator commission,3.98
Apr 2021,SJP,Aggregator commission,4.37
Apr 2021,ORW,Aggregator commission,1.38
Apr 2021,EST,Aggregator commission,2.15
Apr 2021,ORE,Aggregator commission,1.56
Apr 2021,JPN,Aggregator commission,3.74
Apr 2021,SYH,Aggregator commission,3.81
Apr 2021,VBP,Aggregator commission,2.27
Apr 2021,SKC,Aggregator commission,1.39
Apr 2021,IHY,Aggregator commission,1.96
Apr 2021,SCH,Aggregator commission,0.02
Apr 2021,ITPL,Marketing & advertisement,0.16
Apr 2021,KOR,Marketing & advertisement,0.3
Apr 2021,INB,Marketing & advertisement,0.41
Apr 2021,DIV,Marketing & advertisement,0.43
Apr 2021,IND,Marketing & advertisement,0.63
Apr 2021,MAN,Marketing & advertisement,0.33
Apr 2021,ARK,Marketing & advertisement,0.48
Apr 2021,SIG,Marketing & advertisement,0.24
Apr 2021,HSR,Marketing & advertisement,0.41
Apr 2021,SJP,Marketing & advertisement,0.39
Apr 2021,ORW,Marketing & advertisement,0.28
Apr 2021,EST,Marketing & advertisement,0.26
Apr 2021,ORE,Marketing & advertisement,0.29
Apr 2021,JPN,Marketing & advertisement,0.58
Apr 2021,SYH,Marketing & advertisement,1.07
Apr 2021,VBP,Marketing & advertisement,0.62
Apr 2021,SKC,Marketing & advertisement,0.37
Apr 2021,IHY,Marketing & advertisement,0.26
Apr 2021,HAA,Marketing & advertisement,0.41
Apr 2021,SCH,Marketing & advertisement,0.41
Apr 2021,EGL,Other opex expenses,0.02
Apr 2021,ITPL,Other opex expenses,0.37
Apr 2021,RMZ,Other opex expenses,0.05
Apr 2021,KOR,Other opex expenses,0.45
Apr 2021,INB,Other opex expenses,0.44
Apr 2021,DIV,Other opex expenses,0.63
Apr 2021,IND,Other opex expenses,0.66
Apr 2021,BAG,Other opex expenses,0.04
Apr 2021,DLF,Other opex expenses,0.0
Apr 2021,MAN,Other opex expenses,0.53
Apr 2021,MTP,Other opex expenses,0.03
Apr 2021,ETV,Other opex expenses,0.02
Apr 2021,VIR,Other opex expenses,0.04
Apr 2021,ARK,Other opex expenses,0.62
Apr 2021,SIG,Other opex expenses,0.41
Apr 2021,HSR,Other opex expenses,0.55
Apr 2021,CVR,Other opex expenses,0.02
Apr 2021,SJP,Other opex expenses,0.64
Apr 2021,ORW,Other opex expenses,0.41
Apr 2021,EST,Other opex expenses,0.39
Apr 2021,ORE,Other opex expenses,0.32
Apr 2021,AUR,Other opex expenses,0.0
Apr 2021,JPN,Other opex expenses,0.52
Apr 2021,JPC,Other opex expenses,0.0
Apr 2021,PTP,Other opex expenses,0.03
Apr 2021,SEC,Other opex expenses,0.02
Apr 2021,SYH,Other opex expenses,0.41
Apr 2021,ETF,Other opex expenses,0.03
Apr 2021,GSC,Other opex expenses,0.04
Apr 2021,PRI,Other opex expenses,0.03
Apr 2021,ECN,Other opex expenses,0.02
Apr 2021,RGA,Other opex expenses,0.02
Apr 2021,MIL,Other opex expenses,0.0
Apr 2021,CTS,Other opex expenses,0.01
Apr 2021,VBP,Other opex expenses,0.25
Apr 2021,SKC,Other opex expenses,0.25
Apr 2021,IHY,Other opex expenses,0.7
Apr 2021,DCH,Other opex expenses,0.02
Apr 2021,HAA,Other opex expenses,0.98
Apr 2021,SCH,Other opex expenses,0.33
Apr 2021,EGL,Total outlet expenses,0.02
Apr 2021,ITPL,Total outlet expenses,4.58
Apr 2021,RMZ,Total outlet expenses,0.27
Apr 2021,KOR,Total outlet expenses,5.84
Apr 2021,INB,Total outlet expenses,6.57
Apr 2021,DIV,Total outlet expenses,8.81
Apr 2021,IND,Total outlet expenses,10.3
Apr 2021,BAG,Total outlet expenses,0.04
Apr 2021,DLF,Total outlet expenses,0.0
Apr 2021,MAN,Total outlet expenses,5.25
Apr 2021,MTP,Total outlet expenses,0.03
Apr 2021,ETV,Total outlet expenses,0.07
Apr 2021,VIR,Total outlet expenses,0.04
Apr 2021,ARK,Total outlet expenses,8.61
Apr 2021,SIG,Total outlet expenses,5.47
Apr 2021,HSR,Total outlet expenses,9.97
Apr 2021,CVR,Total outlet expenses,0.02
Apr 2021,SJP,Total outlet expenses,10.82
Apr 2021,ORW,Total outlet expenses,6.71
Apr 2021,EST,Total outlet expenses,6.54
Apr 2021,ORE,Total outlet expenses,5.24
Apr 2021,AUR,Total outlet expenses,0.0
Apr 2021,JPN,Total outlet expenses,10.61
Apr 2021,JPC,Total outlet expenses,0.0
Apr 2021,PTP,Total outlet expenses,0.1
Apr 2021,SEC,Total outlet expenses,0.36
Apr 2021,SYH,Total outlet expenses,8.38
Apr 2021,ETF,Total outlet expenses,0.11
Apr 2021,GSC,Total outlet expenses,0.04
Apr 2021,PRI,Total outlet expenses,0.22
Apr 2021,ECN,Total outlet expenses,0.14
Apr 2021,RGA,Total outlet expenses,0.36
Apr 2021,MIL,Total outlet expenses,0.0
Apr 2021,CTS,Total outlet expenses,0.11
Apr 2021,VBP,Total outlet expenses,7.8
Apr 2021,SKC,Total outlet expenses,4.95
Apr 2021,IHY,Total outlet expenses,7.83
Apr 2021,DCH,Total outlet expenses,0.02
Apr 2021,HAA,Total outlet expenses,6.13
Apr 2021,SCH,Total outlet expenses,3.47
Apr 2021,EGL,Outlet EBITDA,-0.02
Apr 2021,ITPL,Outlet EBITDA,-0.48
Apr 2021,RMZ,Outlet EBITDA,-0.27
Apr 2021,KOR,Outlet EBITDA,0.06
Apr 2021,INB,Outlet EBITDA,0.22
Apr 2021,DIV,Outlet EBITDA,2.17
Apr 2021,IND,Outlet EBITDA,1.69
Apr 2021,BAG,Outlet EBITDA,-0.04
Apr 2021,DLF,Outlet EBITDA,0.0
Apr 2021,MAN,Outlet EBITDA,-1.57
Apr 2021,MTP,Outlet EBITDA,-0.03
Apr 2021,ETV,Outlet EBITDA,-0.07
Apr 2021,VIR,Outlet EBITDA,-0.04
Apr 2021,ARK,Outlet EBITDA,0.69
Apr 2021,SIG,Outlet EBITDA,-0.95
Apr 2021,HSR,Outlet EBITDA,3.11
Apr 2021,CVR,Outlet EBITDA,-0.02
Apr 2021,SJP,Outlet EBITDA,3.95
Apr 2021,ORW,Outlet EBITDA,-0.33
Apr 2021,EST,Outlet EBITDA,1.18
Apr 2021,ORE,Outlet EBITDA,-0.3
Apr 2021,AUR,Outlet EBITDA,0.0
Apr 2021,JPN,Outlet EBITDA,2.62
Apr 2021,JPC,Outlet EBITDA,0.0
Apr 2021,PTP,Outlet EBITDA,-0.1
Apr 2021,SEC,Outlet EBITDA,-0.36
Apr 2021,SYH,Outlet EBITDA,1.3
Apr 2021,ETF,Outlet EBITDA,-0.11
Apr 2021,GSC,Outlet EBITDA,-0.09
Apr 2021,PRI,Outlet EBITDA,-0.22
Apr 2021,ECN,Outlet EBITDA,-0.14
Apr 2021,RGA,Outlet EBITDA,-0.36
Apr 2021,MIL,Outlet EBITDA,0.0
Apr 2021,CTS,Outlet EBITDA,-0.11
Apr 2021,VBP,Outlet EBITDA,0.45
Apr 2021,SKC,Outlet EBITDA,-1.34
Apr 2021,IHY,Outlet EBITDA,0.37
Apr 2021,DCH,Outlet EBITDA,-0.02
Apr 2021,HAA,Outlet EBITDA,-2.61
Apr 2021,SCH,Outlet EBITDA,-1.12
May 2021,KOR,Gross Sales,8.6
May 2021,INB,Gross Sales,18.51
May 2021,DIV,Gross Sales,15.92
May 2021,IND,Gross Sales,18.19
May 2021,ARK,Gross Sales,16.2
May 2021,SIG,Gross Sales,6.4
May 2021,HSR,Gross Sales,18.18
May 2021,SJP,Gross Sales,22.43
May 2021,ORW,Gross Sales,9.09
May 2021,EST,Gross Sales,10.38
May 2021,ORE,Gross Sales,7.84
May 2021,JPN,Gross Sales,19.54
May 2021,SYH,Gross Sales,17.4
May 2021,CTS,Gross Sales,0.0
May 2021,VBP,Gross Sales,14.43
May 2021,SKC,Gross Sales,7.93
May 2021,IHY,Gross Sales,9.89
May 2021,HAA,Gross Sales,4.07
May 2021,SCH,Gross Sales,4.1
May 2021,EGL,GST,0.0
May 2021,ITPL,GST,0.0
May 2021,RMZ,GST,0.0
May 2021,KOR,GST,0.41
May 2021,INB,GST,0.88
May 2021,DIV,GST,0.76
May 2021,IND,GST,0.87
May 2021,BAG,GST,0.0
May 2021,DLF,GST,0.0
May 2021,MAN,GST,0.0
May 2021,MTP,GST,0.0
May 2021,ETV,GST,0.0
May 2021,VIR,GST,0.0
May 2021,ARK,GST,0.77
May 2021,SIG,GST,0.3
May 2021,HSR,GST,0.87
May 2021,CVR,GST,0.0
May 2021,SJP,GST,1.07
May 2021,ORW,GST,0.43
May 2021,EST,GST,0.49
May 2021,ORE,GST,0.37
May 2021,AUR,GST,0.0
May 2021,JPN,GST,0.93
May 2021,JPC,GST,0.0
May 2021,PTP,GST,0.0
May 2021,SEC,GST,0.0
May 2021,SYH,GST,0.83
May 2021,ETF,GST,0.0
May 2021,GSC,GST,0.0
May 2021,PRI,GST,0.0
May 2021,ECN,GST,0.0
May 2021,RGA,GST,0.0
May 2021,MIL,GST,0.0
May 2021,CTS,GST,0.0
May 2021,VBP,GST,0.69
May 2021,SKC,GST,0.38
May 2021,IHY,GST,0.47
May 2021,DCH,GST,0.0
May 2021,HAA,GST,0.19
May 2021,SCH,GST,0.2
May 2021,EGL,Net Sales,0.0
May 2021,ITPL,Net Sales,0.0
May 2021,RMZ,Net Sales,0.0
May 2021,KOR,Net Sales,8.19
May 2021,INB,Net Sales,17.63
May 2021,DIV,Net Sales,15.16
May 2021,IND,Net Sales,17.32
May 2021,BAG,Net Sales,0.0
May 2021,DLF,Net Sales,0.0
May 2021,MAN,Net Sales,0.0
May 2021,MTP,Net Sales,0.0
May 2021,ETV,Net Sales,0.0
May 2021,VIR,Net Sales,0.0
May 2021,ARK,Net Sales,15.43
May 2021,SIG,Net Sales,6.1
May 2021,HSR,Net Sales,17.31
May 2021,CVR,Net Sales,0.0
May 2021,SJP,Net Sales,21.36
May 2021,ORW,Net Sales,8.66
May 2021,EST,Net Sales,9.89
May 2021,ORE,Net Sales,7.47
May 2021,AUR,Net Sales,0.0
May 2021,JPN,Net Sales,18.61
May 2021,JPC,Net Sales,0.0
May 2021,PTP,Net Sales,0.0
May 2021,SEC,Net Sales,0.0
May 2021,SYH,Net Sales,16.57
May 2021,ETF,Net Sales,0.0
May 2021,GSC,Net Sales,0.0
May 2021,PRI,Net Sales,0.0
May 2021,ECN,Net Sales,0.0
May 2021,RGA,Net Sales,0.0
May 2021,MIL,Net Sales,0.0
May 2021,CTS,Net Sales,0.0
May 2021,VBP,Net Sales,13.74
May 2021,SKC,Net Sales,7.55
May 2021,IHY,Net Sales,9.42
May 2021,DCH,Net Sales,0.0
May 2021,HAA,Net Sales,3.87
May 2021,SCH,Net Sales,3.91
May 2021,EGL,COGS (food +packaging),0.0
May 2021,ITPL,COGS (food +packaging),0.0
May 2021,RMZ,COGS (food +packaging),-0.0
May 2021,KOR,COGS (food +packaging),3.03
May 2021,INB,COGS (food +packaging),6.49
May 2021,DIV,COGS (food +packaging),5.62
May 2021,IND,COGS (food +packaging),6.8
May 2021,BAG,COGS (food +packaging),0.0
May 2021,DLF,COGS (food +packaging),0.0
May 2021,MAN,COGS (food +packaging),0.0
May 2021,MTP,COGS (food +packaging),0.0
May 2021,ETV,COGS (food +packaging),0.0
May 2021,VIR,COGS (food +packaging),0.0
May 2021,ARK,COGS (food +packaging),5.73
May 2021,SIG,COGS (food +packaging),2.06
May 2021,HSR,COGS (food +packaging),6.46
May 2021,CVR,COGS (food +packaging),0.0
May 2021,SJP,COGS (food +packaging),7.75
May 2021,ORW,COGS (food +packaging),2.68
May 2021,EST,COGS (food +packaging),3.36
May 2021,ORE,COGS (food +packaging),2.73
May 2021,AUR,COGS (food +packaging),0.0
May 2021,JPN,COGS (food +packaging),6.21
May 2021,JPC,COGS (food +packaging),0.0
May 2021,PTP,COGS (food +packaging),0.0
May 2021,SEC,COGS (food +packaging),0.0
May 2021,SYH,COGS (food +packaging),6.51
May 2021,ETF,COGS (food +packaging),0.0
May 2021,GSC,COGS (food +packaging),0.0
May 2021,PRI,COGS (food +packaging),0.0
May 2021,ECN,COGS (food +packaging),0.0
May 2021,RGA,COGS (food +packaging),0.0
May 2021,MIL,COGS (food +packaging),0.0
May 2021,CTS,COGS (food +packaging),0.0
May 2021,VBP,COGS (food +packaging),5.02
May 2021,SKC,COGS (food +packaging),3.35
May 2021,IHY,COGS (food +packaging),3.19
May 2021,DCH,COGS (food +packaging),0.0
May 2021,HAA,COGS (food +packaging),1.59
May 2021,SCH,COGS (food +packaging),1.51
May 2021,EGL,Gross margin,-0.0
May 2021,ITPL,Gross margin,0.0
May 2021,RMZ,Gross margin,0.0
May 2021,KOR,Gross margin,5.15
May 2021,INB,Gross margin,11.14
May 2021,DIV,Gross margin,9.54
May 2021,IND,Gross margin,10.53
May 2021,BAG,Gross margin,0.0
May 2021,DLF,Gross margin,0.0
May 2021,MAN,Gross margin,0.0
May 2021,MTP,Gross margin,-0.0
May 2021,ETV,Gross margin,0.0
May 2021,VIR,Gross margin,0.0
May 2021,ARK,Gross margin,9.7
May 2021,SIG,Gross margin,4.04
May 2021,HSR,Gross margin,10.85
May 2021,CVR,Gross margin,0.0
May 2021,SJP,Gross margin,13.61
May 2021,ORW,Gross margin,5.98
May 2021,EST,Gross margin,6.53
May 2021,ORE,Gross margin,4.73
May 2021,AUR,Gross margin,0.0
May 2021,JPN,Gross margin,12.4
May 2021,JPC,Gross margin,0.0
May 2021,PTP,Gross margin,0.0
May 2021,SEC,Gross margin,0.0
May 2021,SYH,Gross margin,10.06
May 2021,ETF,Gross margin,0.0
May 2021,GSC,Gross margin,0.0
May 2021,PRI,Gross margin,0.0
May 2021,ECN,Gross margin,0.0
May 2021,RGA,Gross margin,0.0
May 2021,MIL,Gross margin,0.0
May 2021,CTS,Gross margin,0.0
May 2021,VBP,Gross margin,8.72
May 2021,SKC,Gross margin,4.2
May 2021,IHY,Gross margin,6.23
May 2021,DCH,Gross margin,0.0
May 2021,HAA,Gross margin,2.29
May 2021,SCH,Gross margin,2.39
May 2021,EGL,store Labor Cost,0.0
